isogroup11764	GO:0015695;GO:0015101;GO:0065008;GO:0031224;GO:0015850;GO:0043227;GO:0015697;GO:0046942;GO:0007268;GO:0034220;GO:0044459;GO:0008514
isogroup8420	GO:0005925;GO:0007155;GO:0043066;GO:0044822;GO:0048011;GO:0042985;GO:0040016;GO:0006974;GO:0048156;GO:0005794;GO:0005730;GO:0043522;GO:0097190;GO:0005813;GO:0043065;GO:0003700;GO:0045944;GO:0007346;GO:0032929;GO:0042254
isogroup6366	GO:0060339;GO:0005515;GO:0071347;GO:0048812;GO:0071356;GO:0044822;GO:0031665;GO:0032688;GO:0005737;GO:0005730;GO:0032088;GO:0071013;GO:0001933;GO:0007165;GO:0070062;GO:0034122;GO:0032717;GO:0032720;GO:0071222;GO:0000398;GO:0009950;GO:0045087;GO:0003407
isogroup10689	GO:0016021;GO:0034765;GO:0031526;GO:0005768;GO:0071805;GO:0035094;GO:0005515;GO:0015271;GO:0016324
isogroup9397	GO:0003723;GO:0000398;GO:0005684
isogroup22045	GO:0005730;GO:0005794;GO:0006351
isogroup20798	GO:1901363;GO:0009986;GO:0010466;GO:0070062;GO:0004674;GO:0032407;GO:0006281;GO:0005783;GO:0016605;GO:0004867;GO:0031532;GO:0008156;GO:0031258;GO:0090399;GO:0043517;GO:0031527;GO:0034644;GO:0007165;GO:0071480;GO:0034446;GO:0007126;GO:0000077;GO:0004888;GO:0043393;GO:0097159;GO:0006260;GO:0018105;GO:0046777;GO:0046982;GO:0005518;GO:0051015;GO:0007275;GO:0051276;GO:0032405;GO:0001741
isogroup1128	GO:0009653;GO:0001501;GO:0044763;GO:0005515;GO:0040011;GO:0048513;GO:0016043;GO:0008237;GO:0009953;GO:0044421;GO:0043226;GO:0019538
isogroup1420	GO:0005388;GO:0033138;GO:0021707;GO:0046068;GO:0006357;GO:0050885;GO:0050998;GO:0005887;GO:0016324;GO:0005901;GO:0031982;GO:0048167;GO:0006996;GO:0005783;GO:0032809;GO:0060088;GO:0043234;GO:0051001;GO:0005829;GO:1901205;GO:0071872;GO:0045299;GO:0007596;GO:0030315;GO:0006200;GO:0051928;GO:1901660;GO:2000481;GO:0050910;GO:0097110;GO:0098736;GO:0070885;GO:0007626;GO:0050808;GO:1903243;GO:0033130;GO:0005794;GO:0010751;GO:0008361;GO:0035254;GO:0005524;GO:0090102;GO:0005929;GO:0030425;GO:0030899;GO:1903249;GO:0051599;GO:0005516;GO:0030165;GO:0042428;GO:0030235;GO:0045019;GO:0040011;GO:0030018;GO:1900082;GO:0098703;GO:0030346;GO:0017080;GO:0003407;GO:1902305;GO:0007595;GO:0021702
isogroup5010	GO:0044446;GO:0005515;GO:0012505;GO:0005634
